epoch,loss
0,6.577539920806885
1,5.827908515930176
2,5.442273139953613
3,5.1427083015441895
4,4.886399745941162
5,4.663337230682373
6,4.463013648986816
7,4.27925968170166
8,4.108779430389404
9,3.952739715576172
10,3.808012008666992
11,3.6722888946533203
12,3.5495123863220215
13,3.435648202896118
14,3.334376096725464
15,3.238629102706909
16,3.1530518531799316
17,3.0764055252075195
18,3.0059781074523926
19,2.9397387504577637
20,2.880413770675659
21,2.826958656311035
22,2.775273084640503
23,2.7293572425842285
24,2.6853244304656982
25,2.644982099533081
26,2.605435609817505
27,2.570575475692749
28,2.5356664657592773
29,2.504755973815918
30,2.4757003784179688
31,2.4460389614105225
32,2.419830083847046
33,2.39445424079895
34,2.370717763900757
35,2.3472702503204346
36,2.325932025909424
37,2.304633140563965
38,2.284932851791382
39,2.2646713256835938
40,2.2461512088775635
41,2.228119134902954
42,2.2143449783325195
43,2.1966025829315186
44,2.1805598735809326
45,2.1656668186187744
46,2.1519358158111572
47,2.1377675533294678
48,2.1234517097473145
49,2.111168622970581
50,2.098172187805176
