	year	author	title	filename code	api code	lang
313	1916	Bull, Olaf	Digte og noveller	2011051604088	2011051604088	nob
314	1919	Bull, Olaf	Samlede digte 1909-1919	2011052404044	2011052404044	nob
315	1913	Løchen, Arne	Digtning og videnskap	2006090100024	2006090100024	nob
317	1932	Muus, Rudolf	Dikterliv i gamle Kristiania	2010111606040	2010111606040	nob
330	1913	Hansen, Hans	Orms sange	2013070308028	2013070308028	nob
364	1921	Bull, Jacob B.	Digte	2013081206032	2013081206032	nob
368	1934	Kielland, Alexander L.	Samlede digterverker. 4 : Sne ; Tre par ; Betty's formynder ; Sankt Hans fest	2009070601034	2009070601034	nob
369	1929	Kielland, Alexander L.	Samlede digterverker. 2 : Arbeidsfolk ; Else ; Skipper Worse	2009100610003	2009100610003	nob
370	1919	Kielland, Alexander L.	Samlede digterverker. B. 4 : Sne ; Tre par ; Bettys formynder ; Sankt Hans fest	2013061108035	2013061108035	nob
371	1934	Kielland, Alexander L.	Samlede digterverker. B. 2 : Arbeidsfolk ; Else ; Skipper Worse	2009070601030	2009070601030	nob
372	1934	Kielland, Alexander L.	Samlede digterverker. B. 1 : Noveletter ; Garman & Worse ; For scenen ; Nye noveletter	2009070601033	2009070601033	nob
373	1919	Kielland, Alexander L.	Samlede digterverker. B. 1 : Novelletter ; Garman & Worse ; For scenen ; Nye novelletter	2013061108130	2013061108130	nob
374	1919	Kielland, Alexander L.	Samlede digterverker. B. 5 : Professoren ; Jacob ; Mennesker og dyr ; Tillæg	2010070606060	2010070606060	nob
375	1934	Kielland, Alexander L.	Samlede digterverker. 3 : To novelletter fra Danmark ; Gift ; Fortuna	2009082500010	2009082500010	nob
386	1914	Bjørnson, Bjørnstjerne	Digte og Sange	2012102608111	2012102608111	nob
387	1919	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 2 : Kong Sverre ; Sigurd Slembe ; Maria Stuart i Skotland ; [De Nygifte] ; Jernbanen og Kirkegaarden ; Fiskerjenten	2010011113001	2010011113001	nob
389	1919	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 4 : Kaptejn Mansana ; Magnhild ; Kongen ; Det ny system ; Leonorda	2010011313001	2010011313001	nob
399	1920	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 8 : Mary ; Når den ny vin blomstrer ; Digte og sange ; Fred ; Lyset	2010011512001	2010011512001	nob
404	1920	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 7 : Absalons hår ; Over ævne, andet stykke ; Paul Lange og Tora Parsberg ; Laboremus ; På Storhove ; Daglannet	2010011413001	2010011413001	nob
405	1950	Bjørnson, Bjørnstjerne	Dikte og sange : i utvalg	2006081000055	2006081000055	nob
408	1920	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 9 : Varianter	2010011512002	2010011512002	nob
409	1919	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 5 : Støv ; En hanske ; Over ævne, første stykke ; Det flager i byen og på havnen	2010011213001	2010011213001	nob
412	1940	Bjørnson, Bjørnstjerne	Dikt og sanger : i utvalg	2009062204062	2009062204062	nob
413	1920	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 3 : Mindre fortællinger ; Arnljot Gelline ; Sigurd Jorsalfar ; Brude-slåtten ; En fallit ; Redaktøren	2008012203003	2008012203003	nob
416	1919	Bjørnson, Bjørnstjerne	Samlede Digter-verker. 6 : Geografi og kjærlighed ; På Guds veje ; Et stygt barndomsminde ; Mors hænder ; En dag ; Ivar Bye	2010010713001	2010010713001	nob
418	1908	Vullum, Erik	Henrik Wergeland i Digt og Liv : en historisk Skitse	2006113000043	2006113000043	nob
420	1910	Rolfsen, Nordahl	Tilbageblik : Digte og Sange af Nordahl Rolfsen : samlede til vort Sølvbryllup Juli 1910 af hans Hustru	2013053008130	2013053008130	nob
426	1930	Sivle, Per	Nyare dikt : Sivle, Garborg, Hovden	2011053104018	2011053104018	nno
428	1928	Backe, Stein	Gamle tufter : dikt	2008032702005	2008032702005	nob
430	1944	Brun, Johan Nordahl	Selskaps- og leilighetssanger	2012121105093	2012121105093	nob
436	1920	Reynolds, Hans	Dagsens dikt	2008040800028	2008040800028	nno
446	1950	Nilsen, Rudolf	Samlede dikt	2011102708082	2011102708082	nob
447	1926	Nilsen, Rudolf	På gjensyn : dikte	2011050604061	2011050604061	nob
449	1907	Vogt, Nils Collett	Septemberbrand : Digte : sjette Samling	2008022904012	2008022904012	nob
450	1917	Vogt, Nils Collett	Hjemkomst : digte	2011041420011	2011041420011	nob
451	1964	Vogt, Nils Collett	Et liv i dikt	2010120606023	2010120606023	nob
452	1919	Vogt, Nils Collett	Digte i utvalg	2010070205073	2010070205073	nob
453	1904	Vogt, Nils Collett	Fra Vaar til Høst : Digte	2008022904013	2008022904013	nob
