epoch,loss
0,0.6555819511413574
1,0.4353380799293518
2,0.3672327995300293
3,0.3388437032699585
4,0.3261670768260956
5,0.3128431439399719
6,0.2965870499610901
7,0.2776579260826111
8,0.2588918209075928
9,0.22904610633850098
10,0.20476074516773224
11,0.1856202632188797
12,0.16013990342617035
13,0.1412709802389145
14,0.11428564786911011
15,0.10021208226680756
16,0.10165512561798096
17,0.07643721997737885
18,0.06334812939167023
19,0.05573046952486038
20,0.04589539393782616
21,0.039459340274333954
22,0.035434916615486145
23,0.0314558744430542
24,0.027458887547254562
25,0.02436045929789543
26,0.02220579795539379
27,0.020567381754517555
28,0.018577447161078453
29,0.016889844089746475
