epoch,accuracy,loss,val_accuracy,val_loss
0,0.49457862973213196,0.7095364928245544,0.5138441920280457,0.6876583695411682
1,0.5283950567245483,0.6871289014816284,0.620090126991272,0.6812376976013184
2,0.571336567401886,0.6841323971748352,0.6786864399909973,0.6672589778900146
3,0.6182501316070557,0.6616346836090088,0.725048303604126,0.6196904182434082
4,0.6389694213867188,1.2508037090301514,0.7256922125816345,0.6179571747779846
5,0.657326877117157,0.6320750713348389,0.7475852966308594,0.5892157554626465
6,0.6900697946548462,0.6082838773727417,0.7604635953903198,0.5667795538902283
7,0.7027375102043152,0.5973044633865356,0.7746297717094421,0.5419579148292542
8,0.7119699120521545,0.582492470741272,0.7752736806869507,0.5272121429443359
9,0.7199141383171082,0.5747961401939392,0.7797810435295105,0.5132003426551819
10,0.7269994616508484,0.5603847503662109,0.7971667647361755,0.4896772503852844
11,0.7344068884849548,0.551833987236023,0.8016741871833801,0.4911882281303406
12,0.7394524812698364,0.5478048324584961,0.8074694275856018,0.46524858474731445
13,0.7523349523544312,0.5371913909912109,0.8055376410484314,0.4645300805568695
14,0.7638217806816101,0.5187975168228149,0.8216355443000793,0.44446346163749695
15,0.7567364573478699,0.5248134136199951,0.8293625116348267,0.43326038122177124
16,0.7684379816055298,0.5035260319709778,0.8364455699920654,0.41672176122665405
17,0.7694041728973389,0.49962106347084045,0.8345138430595398,0.40595555305480957
18,0.7772409915924072,0.4887808561325073,0.8473921418190002,0.39247217774391174
19,0.7793880701065063,0.48437464237213135,0.8441725969314575,0.38130563497543335
20,0.7858293056488037,0.4729222357273102,0.8486799597740173,0.37685173749923706
21,0.7944176197052002,0.46191123127937317,0.8557630181312561,0.36679548025131226
22,0.7906602025032043,0.46879011392593384,0.8596265316009521,0.3665887713432312
23,0.7947396636009216,0.45610344409942627,0.870573103427887,0.35447925329208374
24,0.8030059337615967,0.4492953419685364,0.8763683438301086,0.34047260880470276
25,0.8041868209838867,0.44714248180389404,0.8847392201423645,0.3376690447330475
26,0.811272144317627,0.4350452721118927,0.8828074932098389,0.3243028223514557
27,0.8198604583740234,0.4263940155506134,0.8828074932098389,0.33079493045806885
28,0.8181427717208862,0.4218323528766632,0.8918222784996033,0.3090607821941376
29,0.8216854333877563,0.4136861264705658,0.8866709470748901,0.3025260865688324
30,0.8273751735687256,0.40918219089508057,0.8898905515670776,0.3069656193256378
31,0.8229736685752869,0.4142298698425293,0.8924661874771118,0.3041132390499115
32,0.8246913552284241,0.4109048843383789,0.8969736099243164,0.29587501287460327
33,0.822544276714325,0.405518114566803,0.8956857919692993,0.29240095615386963
34,0.8275899291038513,0.39908546209335327,0.9008370637893677,0.28870871663093567
35,0.8356414437294006,0.3843713402748108,0.9027688503265381,0.28665995597839355
36,0.8359634876251221,0.38680538535118103,0.9072762131690979,0.2790873944759369
37,0.8387547135353088,0.3851003050804138,0.9034127593040466,0.2787913382053375
38,0.834997296333313,0.3889286518096924,0.9008370637893677,0.28010064363479614
39,0.8442297577857971,0.3813483417034149,0.9072762131690979,0.2728946805000305
40,0.8393988013267517,0.3886694312095642,0.9085640907287598,0.27783921360969543
41,0.8372517228126526,0.3843457102775574,0.9053444862365723,0.2778407037258148
42,0.8363929390907288,0.38933444023132324,0.9001931548118591,0.27297693490982056
43,0.8482018113136292,0.36955907940864563,0.912427544593811,0.2643561065196991
44,0.8504562377929688,0.3726552426815033,0.9059883952140808,0.26430341601371765
45,0.8476650714874268,0.3626480996608734,0.9072762131690979,0.26351410150527954
46,0.8498121500015259,0.36883148550987244,0.9137153625488281,0.26026293635368347
47,0.8433709144592285,0.36779674887657166,0.9092079997062683,0.2586444616317749
48,0.8497048020362854,0.3717474639415741,0.9053444862365723,0.26522329449653625
49,0.8439076542854309,0.37117087841033936,0.9137153625488281,0.25470948219299316
50,0.854750394821167,0.3604404926300049,0.9117836356163025,0.2573491036891937
51,0.851959228515625,0.3569697439670563,0.9162910580635071,0.24347011744976044
52,0.8563607335090637,0.3615346848964691,0.91500324010849,0.2500329613685608
53,0.8484165072441101,0.36112257838249207,0.9162910580635071,0.2410055547952652
54,0.8517444729804993,0.35815420746803284,0.91500324010849,0.25378504395484924
55,0.8544283509254456,0.35191959142684937,0.9156471490859985,0.24694810807704926
56,0.8529253602027893,0.35835492610931396,0.9156471490859985,0.24605558812618256
57,0.8565754294395447,0.3531944155693054,0.9220862984657288,0.24000360071659088
58,0.8542136549949646,0.3523741364479065,0.9175788760185242,0.24369138479232788
59,0.8584004044532776,0.3578861951828003,0.9214423894882202,0.24090777337551117
60,0.8543210029602051,0.3547333776950836,0.9175788760185242,0.24426861107349396
61,0.8577563166618347,0.35301968455314636,0.9207984805107117,0.23598836362361908
62,0.8555018901824951,0.3570699989795685,0.9220862984657288,0.24015219509601593
63,0.8575416207313538,0.34572336077690125,0.9182227849960327,0.23907527327537537
64,0.8631240129470825,0.3383888304233551,0.9182227849960327,0.2413787543773651
65,0.8599033951759338,0.34410035610198975,0.9195106029510498,0.23882818222045898
66,0.8606548309326172,0.33732426166534424,0.9162910580635071,0.23810510337352753
67,0.8564680814743042,0.34612640738487244,0.9272376298904419,0.23030242323875427
68,0.8615136742591858,0.33844318985939026,0.9195106029510498,0.23102647066116333
